Taina;84-24;60
Tony;75-15;60
Pekka;31+95;126
Mike;59-7;52
Kirsi;27+12;39
Toni;70+47;117
Antti;91+84;175
Matti;67-41;26
Antti;65-39;26
Tea;33+71;104
Pekka;97+53;150
Tony;48+66;114
Emilia;23+30;53
Tuula;99-42;57
Arto;26+81;107
Antti;85+38;123
Toni;71-19;52
Pekka;34+67;101
Toni;89-19;70
Tony;62+61;123
Pekka;90-25;65
Emilia;40+17;57
Tanja;92+77;169
Antti;36+95;131
Paula;81-33;48
Kirsi;88-41;47
Emilia;69+74;143
Juha;99-18;81
Antti;68-31;37
Tea;49+3;52
Mia;34+79;113
Paula;94-11;83
Pekka;55-26;29
Pekka;49+1;50
Tiina;68-32;36
Paula;67-10;57
Lauri;86-21;65
Erkki;62-9;53
Matti;61+24;85
Mia;51+36;87
Toni;52-7;45
Tiina;55-50;5
